                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     39,                0.10387,                0.13558,                0.75796,                0.99939,                      1,                  0.995,                0.99376,                0.12898,                0.14835,                0.76474,             0.00070404,             0.00070404,             0.00070404
                     40,                0.10782,                0.13634,                0.75956,                0.99919,                0.99995,                  0.995,                0.99337,                0.13427,                0.15326,                0.76345,             0.00069304,             0.00069304,             0.00069304
                     41,                0.10667,                0.13529,                0.75957,                0.99954,                      1,                  0.995,                0.99449,                0.11638,                0.13953,                0.76245,             0.00068204,             0.00068204,             0.00068204
                     42,                0.09698,                0.13007,                0.75817,                0.99953,                      1,                  0.995,                0.99444,                0.12622,                0.14431,                0.76305,             0.00067104,             0.00067104,             0.00067104
                     43,                0.09455,                0.12625,                0.75893,                0.99973,                0.99993,                  0.995,                0.99258,                0.14891,                0.15041,                0.76496,             0.00066005,             0.00066005,             0.00066005
                     44,                0.10686,                0.13228,                0.75903,                0.99986,                0.99997,                  0.995,                0.99395,                0.12808,                0.13934,                0.76361,             0.00064905,             0.00064905,             0.00064905
                     45,                0.09685,                0.12384,                0.75966,                0.99942,                0.99964,                  0.995,                0.99476,                0.11838,                0.13668,                0.76244,             0.00063805,             0.00063805,             0.00063805
                     46,                0.08937,                0.12034,                0.76036,                0.99979,                      1,                  0.995,                0.99375,                0.12356,                 0.1364,                0.76353,             0.00062705,             0.00062705,             0.00062705
                     47,                0.09689,                0.12049,                 0.7598,                0.99964,                      1,                  0.995,                0.99443,                0.11954,                0.13465,                0.76246,             0.00061605,             0.00061605,             0.00061605
                     48,                0.08718,                 0.1155,                0.75742,                0.99954,                0.99924,                  0.995,                0.99154,                0.14261,                0.14121,                0.76454,             0.00060505,             0.00060505,             0.00060505
                     49,                0.09333,                0.11923,                  0.759,                0.99898,                      1,                  0.995,                0.99424,                0.11678,                0.13192,                0.76233,             0.00059405,             0.00059405,             0.00059405
                     50,                0.08689,                0.11365,                0.75643,                0.99973,                 0.9997,                  0.995,                0.99423,                0.12595,                0.13323,                0.76281,             0.00058305,             0.00058305,             0.00058305
                     51,                0.08871,                0.11397,                 0.7582,                0.99983,                0.99972,                  0.995,                0.99397,                0.12877,                0.13544,                0.76325,             0.00057205,             0.00057205,             0.00057205
                     52,                0.08853,                0.11338,                0.75851,                0.99965,                0.99986,                  0.995,                0.99413,                0.11713,                0.13001,                0.76227,             0.00056105,             0.00056105,             0.00056105
                     53,                0.08396,                0.11073,                0.75811,                0.99956,                0.99977,                  0.995,                0.99312,                0.12364,                  0.132,                0.76336,             0.00055006,             0.00055006,             0.00055006
                     54,                0.08796,                0.11264,                0.75712,                0.99958,                0.99991,                  0.995,                0.99419,                0.11851,                0.12851,                0.76248,             0.00053906,             0.00053906,             0.00053906
